"L1TeamId","TeamId","ShortName","TeamLongName","AgeGroup","Gender","Division","Season","Status","Jersey","Shorts","AltJersey","ClubName","ClubId"
"2335134","104170","America Drea","America Dreams","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335114","104111","Ames 1 Globa","Ames 1 Global Reach","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335121","104173","Ames 2 Danfo","Ames 2 Danfoss","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335136","104002","Ames 3 Sitev","Ames 3 Siteviz","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335147","104102","Ames 4 Briti","Ames 4 British Foods","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335148","104109","Ames 4 Mucky","Ames 4 Mucky Ducks","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335123","104190","Athletic Bil","Athletic Bilbo Baggins","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335137","104177","Barca","Barca","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335150","104103","Carlisle","Carlisle Pride","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335124","104105","Celtics 1","Celtics 1","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335138","104107","Celtics 2","Celtics 2","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335151","104171","Celtics 3","Celtics 3","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335125","104106","Clockwork Or","Clockwork Orange","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335126","104108","Committee","Committee","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335113","104194","Cosmic Brown","Cosmic Brownies","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335127","104179","Des Moines V","Des Moines Velociraptors","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335140","104172","Eagles FC","Eagles FC","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335141","104192","Iowa Rush","Iowa Rush","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335128","104110","Johnston","Johnston","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335116","104001","Lutheran Cra","Lutheran Crazies","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335152","104124","Messi Heads","Messi Heads","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335142","104112","Metros","Metros","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335129","104176","Micki s Club","Micki s Club","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335130","104116","Pulse","Pulse","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335117","104117","Recipe","Recipe","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335131","104118","Red Star","Red Star","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335153","104121","Strikers","Strikers","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335154","104193","Team X Green","Team X Green","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335143","104174","Team X1","Team X1","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335144","104175","The Crew","The Crew","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335132","104122","TST United","TST United","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335119","104113","United FC Ro","United FC Royal","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335120","104191","United FC Wa","United FC Wanderers","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
"2335133","104169","United West","United West","Mens","M","Adult","Spring","Pending","","","","Central Iowa Coed Soccer League","OTHSL"
